?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1030471>	"Campbell Martin"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q7987073>	"West of Scotland"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2004-07-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1787171>	"exclusion from a political party"@en
<http://www.wikidata.org/entity/Q1030471>	"Campbell Martin"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q7987073>	"West of Scotland"@en	<http://www.wikidata.org/entity/Q327591>	"independent politician"@en	"2014-07-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1051152>	"Cathy Peattie"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1394345>	"Falkirk East"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1064575>	"Charlie Gordon"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1458360>	"Glasgow Cathcart"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2005-09-29T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q5566767>	"2005 Glasgow Cathcart by-election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1076969>	"Chris Ballance"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q7569048>	"South of Scotland"@en	<http://www.wikidata.org/entity/Q1256956>	"Scottish Green Party"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1083700>	"Christine May"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1394351>	"Falkirk West"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1108455>	"Colin Fox"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1871077>	"Lothian"@en	<http://www.wikidata.org/entity/Q891900>	"Scottish Socialist Party"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1167157>	"Shiona Baird"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1647853>	"North East Scotland"@en	<http://www.wikidata.org/entity/Q1256956>	"Scottish Green Party"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1174169>	"David Davidson"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1647853>	"North East Scotland"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1175613>	"David McLetchie"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1284757>	"Edinburgh Pentlands"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"2003-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q683800>	"2003 Scottish Parliament general election"@en	"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1176111>	"Dave Petrie"@en	<http://www.wikidata.org/entity/Q29585764>	"2nd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1549306>	"Highlands and Islands"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"2006-04-07T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2007-04-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
