?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1051152>	"Cathy Peattie"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1394345>	"Falkirk East"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1108388>	"Colin Campbell"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q7987073>	"West of Scotland"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1168523>	"Dorothy-Grace Elder"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1529479>	"Glasgow"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2002-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q30580660>	"leaving party"@en
<http://www.wikidata.org/entity/Q1168523>	"Dorothy-Grace Elder"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1529479>	"Glasgow"@en	<http://www.wikidata.org/entity/Q327591>	"independent politician"@en	"2002-05-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1174169>	"David Davidson"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1647853>	"North East Scotland"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1175613>	"David McLetchie"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1871077>	"Lothian"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1189028>	"Dennis Canavan"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1394351>	"Falkirk West"@en	<http://www.wikidata.org/entity/Q327591>	"independent politician"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1200458>	"Des McNulty"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1103746>	"Clydebank and Milngavie"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q121780>	"Michael Matheson"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1053991>	"Central Scotland"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1225080>	"John Farquhar Munro"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q976545>	"Ross, Skye and Inverness West"@en	<http://www.wikidata.org/entity/Q3250438>	"Scottish Liberal Democrats"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1265397>	"Duncan Hamilton"@en	<http://www.wikidata.org/entity/Q29585760>	"1st Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1549306>	"Highlands and Islands"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"1999-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1269950>	"1999 Scottish Parliament general election"@en	"2003-03-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
