?item	?term	?constituency	?party	?start	?election	?end	?cause
Q19958052	Q29974940	Q874666	Q9626	2017-06-08	Q25052149		
Q19958093	Q29974940	Q1032537	Q9626	2017-06-08	Q25052149		
Q19958100	Q29974940	Q987899	Q9626	2017-06-08	Q25052149		
Q19958134	Q29974940	Q3137808	Q9630	2017-06-08	Q25052149		
Q19979355	Q29974940	Q1031863	Q9630	2017-06-08	Q25052149		
Q19979409	Q29974940	Q1077778	Q9630	2017-06-08	Q25052149		
Q20011564	Q29974940	Q3301842	Q10658	2017-06-08	Q25052149		
Q20022488	Q29974940	Q1077346	Q6467393	2017-06-08	Q25052149		
Q20054075	Q29974940	Q1080445	Q9630	2017-06-08	Q25052149		
Q20054083	Q29974940	Q989270	Q9626	2017-06-08	Q25052149		
Q20055561	Q29974940	Q1032035	Q9626	2017-06-08	Q25052149		
Q20055581	Q29974940	Q1031975	Q9626	2017-06-08	Q25052149		
Q20113749	Q29974940	Q1077764	Q9630	2017-06-08	Q25052149		
Q20127903	Q29974940	Q1051416	Q9630	2017-06-08	Q25052149		
Q20127909	Q29974940	Q1075433	Q9630	2017-06-08	Q25052149		
Q20127923	Q29974940	Q589328	Q6467393	2017-06-08	Q25052149		
Q20127929	Q29974940	Q1050631	Q9626	2017-06-08	Q25052149		
Q20128115	Q29974940	Q3138645	Q9630	2017-06-08	Q25052149		
Q20128211	Q29974940	Q1072690	Q9630	2017-06-08	Q25052149		
Q20177497	Q29974940	Q988435	Q9626	2017-06-08	Q25052149		
Q20195263	Q29974940	Q3134165	Q9626	2017-06-08	Q25052149		
Q20195397	Q29974940	Q988873	Q9626	2017-06-08	Q25052149		
Q20195470	Q29974940	Q1051633	Q9626	2017-06-08	Q25052149		
Q20203414	Q29974940	Q1077391	Q9630	2017-06-08	Q25052149		
Q20647531	Q29974940	Q1077363	Q9630	2017-06-08	Q25052149		
Q20647567	Q29974940	Q989027	Q9626	2017-06-08	Q25052149		
Q20647673	Q29974940	Q3302172	Q9630	2017-06-08	Q25052149		
Q20647692	Q29974940	Q1032559	Q9626	2017-06-08	Q25052149		
Q20647738	Q29974940	Q3334702	Q9630	2017-06-08	Q25052149		
Q20647800	Q29974940	Q988153	Q9626	2017-06-08	Q25052149		
Q20647819	Q29974940	Q3337458	Q9626	2017-06-08	Q25052149		
Q20647855	Q29974940	Q988001	Q9626	2017-06-08	Q25052149		
Q20647896	Q29974940	Q1053572	Q9626	2017-06-08	Q25052149		
Q20647924	Q29974940	Q1077785	Q9630	2017-06-08	Q25052149		
Q20648244	Q29974940	Q1072626	Q9626	2017-06-08	Q25052149		
Q20648325	Q29974940	Q3335964	Q9626	2017-06-08	Q25052149		
Q20648332	Q29974940	Q1053099	Q6467393	2017-06-08	Q25052149		
Q20648365	Q29974940	Q3336781	Q9630	2017-06-08	Q25052149		
Q20648372	Q29974940	Q988625	Q9626	2017-06-08	Q25052149		
Q20648385	Q29974940	Q875493	Q9626	2017-06-08	Q25052149		
Q20648420	Q29974940	Q1032098	Q6467393	2017-06-08	Q25052149		
Q20648527	Q29974940	Q988454	Q9630	2017-06-08	Q25052149		
Q20648556	Q29974940	Q3137757	Q9626	2017-06-08	Q25052149		
Q20648564	Q29974940	Q3239124	Q9626	2017-06-08	Q25052149		
Q20648913	Q29974940	Q875434	Q9630	2017-06-08	Q25052149		
Q20648982	Q29974940	Q3138658	Q9626	2017-06-08	Q25052149		
Q20732037	Q29974940	Q3337181	Q9626	2017-06-08	Q25052149		
Q20747098	Q29974940	Q3138335	Q9626	2017-06-08	Q25052149		
Q21234823	Q29974940	Q751599	Q215519	2017-06-08	Q25052149		
Q21592171	Q29974940	Q1031869	Q9626	2017-06-08	Q25052149		
Q216594	Q29974940	Q1070108	Q9630	2017-06-08	Q25052149		
Q232639	Q29974940	Q1077561	Q9630	2017-06-08	Q25052149		
Q234182	Q29974940	Q3238889	Q9630	2017-06-08	Q25052149		
Q24034408	Q29974940	Q1031745	Q9630	2017-06-08	Q25052149		
Q24034678	Q29974940	Q299997	Q9626	2017-06-08	Q25052149		
Q24039769	Q29974940	Q1053311	Q9626	2017-06-08	Q25052149		
Q24053857	Q29974940	Q1051003	Q9630	2017-06-08	Q25052149		
Q244312	Q29974940	Q875210	Q9624	2017-06-08	Q25052149		
Q24668273	Q29974940	Q875474	Q9630	2017-06-08	Q25052149		
Q251095	Q29974940	Q1077816	Q9630	2017-06-08	Q25052149		
Q258088	Q29974940	Q1050969	Q9630	2017-06-08	Q25052149		
Q258292	Q29974940	Q1031788	Q9626	2017-06-08	Q25052149		
Q258473	Q29974940	Q874276	Q9626	2017-06-08	Q25052149		
Q258586	Q29974940	Q1072632	Q9626	2017-06-08	Q25052149		
Q258963	Q29974940	Q874871	Q9626	2017-06-08	Q25052149		
Q259359	Q29974940	Q3336099	Q9630	2017-06-08	Q25052149	2018-05-09	Q796919
Q259361	Q29974940	Q740118	Q9626	2017-06-08	Q25052149		
Q259423	Q29974940	Q3134130	Q9630	2017-06-08	Q25052149		
Q259646	Q29974940	Q988607	Q9626	2017-06-08	Q25052149		
Q259707	Q29974940	Q1032152	Q9626	2017-06-08	Q25052149		
Q259895	Q29974940	Q1077534	Q6467393	2017-06-08	Q25052149		
Q259935	Q29974940	Q3335941	Q9630	2017-06-08	Q25052149		
Q260013	Q29974940	Q874568	Q6467393	2017-06-08	Q25052149		
Q260111	Q29974940	Q750841	Q9626	2017-06-08	Q25052149		
Q260429	Q29974940	Q874393	Q9626	2017-06-08	Q25052149		
Q260489	Q29974940	Q3302470	Q9626	2017-06-08	Q25052149		
Q260546	Q29974940	Q1032502	Q9626	2017-06-08	Q25052149		
Q260631	Q29974940	Q1031931	Q9630	2017-06-08	Q25052149		
Q260772	Q29974940	Q299976	Q9626	2017-06-08	Q25052149		
Q261214	Q29974940	Q1075925	Q6467393	2017-06-08	Q25052149	2018-04-30	Q35855188
Q261214	Q29974940	Q1075925	Q327591	2018-04-30			
Q261553	Q29974940	Q875285	Q9626	2017-06-08	Q25052149		
Q261675	Q29974940	Q1050667	Q10658	2017-06-08	Q25052149		
Q261773	Q29974940	Q3138501	Q9630	2017-06-08	Q25052149		
Q262040	Q29974940	Q751620	Q215519	2017-06-08	Q25052149		
Q262201	Q29974940	Q1031806	Q9630	2017-06-08	Q25052149		
Q262409	Q29974940	Q988851	Q9626	2017-06-08	Q25052149		
Q262539	Q29974940	Q3231585	Q9626	2017-06-08	Q25052149		
Q262616	Q29974940	Q1051572	Q9626	2017-06-08	Q25052149		
Q262742	Q29974940	Q1075498	Q9630	2017-06-08	Q25052149		
Q262931	Q29974940	Q1053007	Q9626	2017-06-08	Q25052149		
Q263076	Q29974940	Q613294	Q9626	2017-06-08	Q25052149		
Q263147	Q29974940	Q1070140	Q464103	2017-06-08	Q25052149		
Q263166	Q29974940	Q750810	Q9626	2017-06-08	Q25052149		
Q263243	Q29974940	Q1053362	Q9626	2017-06-08	Q25052149		
Q263299	Q29974940	Q3138091	Q6467393	2017-06-08	Q25052149		
Q263350	Q29974940	Q1031940	Q9626	2017-06-08	Q25052149		
Q263508	Q29974940	Q1031751	Q9630	2017-06-08	Q25052149		
Q263802	Q29974940	Q874585	Q9630	2017-06-08	Q25052149		
Q263875	Q29974940	Q1077528	Q9626	2017-06-08	Q25052149		
Q263923	Q29974940	Q1075483	Q9630	2017-06-08	Q25052149		
Q264132	Q29974940	Q1031760	Q9630	2017-06-08	Q25052149		
Q264305	Q29974940	Q1032065	Q9626	2017-06-08	Q25052149		
Q264365	Q29974940	Q3302028	Q9626	2017-06-08	Q25052149		
Q264374	Q29974940	Q988730	Q9626	2017-06-08	Q25052149		
Q264426	Q29974940	Q874686	Q9626	2017-06-08	Q25052149		
Q264477	Q29974940	Q750906	Q9626	2017-06-08	Q25052149		
Q264560	Q29974940	Q988407	Q9626	2017-06-08	Q25052149		
Q264585	Q29974940	Q988615	Q9630	2017-06-08	Q25052149		
Q264618	Q29974940	Q24768	Q9630	2017-06-08	Q25052149		
Q264636	Q29974940	Q3238861	Q9626	2017-06-08	Q25052149		
Q264662	Q29974940	Q588969	Q9626	2017-06-08	Q25052149		
Q264684	Q29974940	Q3138034	Q9626	2017-06-08	Q25052149		
Q264720	Q29974940	Q3238966	Q9624	2017-06-08	Q25052149		
Q264766	Q29974940	Q3336813	Q9626	2017-06-08	Q25052149		
Q264964	Q29974940	Q3238943	Q9630	2017-06-08	Q25052149		
Q265028	Q29974940	Q1051582	Q9626	2017-06-08	Q25052149		
Q265088	Q29974940	Q874300	Q9626	2017-06-08	Q25052149		
Q265140	Q29974940	Q1050985	Q9626	2017-06-08	Q25052149		
Q265870	Q29974940	Q874463	Q9630	2017-06-08	Q25052149		
Q265900	Q29974940	Q1052276	Q9626	2017-06-08	Q25052149		
Q265935	Q29974940	Q974748	Q9630	2017-06-08	Q25052149		
Q266078	Q29974940	Q3335586	Q9626	2017-06-08	Q25052149		
Q266146	Q29974940	Q1032058	Q9630	2017-06-08	Q25052149		
Q266189	Q29974940	Q750978	Q10691	2017-06-08	Q25052149		
Q266238	Q29974940	Q874123	Q9630	2017-06-08	Q25052149		
Q266647	Q29974940	Q3231812	Q9630	2017-06-08	Q25052149		
Q266793	Q29974940	Q1077626	Q9626	2017-06-08	Q25052149		
Q266905	Q29974940	Q3302128	Q9626	2017-06-08	Q25052149		
Q266978	Q29974940	Q875087	Q9630	2017-06-08	Q25052149		
Q267105	Q29974940	Q1077463	Q9630	2017-06-08	Q25052149		
Q267234	Q29974940	Q1051617	Q9626	2017-06-08	Q25052149		
Q267485	Q29974940	Q875011	Q9626	2017-06-08	Q25052149		
Q267648	Q29974940	Q875403	Q9630	2017-06-08	Q25052149		
Q267930	Q29974940	Q3137734	Q9630	2017-06-08	Q25052149		
Q268030	Q29974940	Q873604	Q9626	2017-06-08	Q25052149		
Q268196	Q29974940	Q875175	Q9630	2017-06-08	Q25052149		
Q268465	Q29974940	Q751629	Q215519	2017-06-08	Q25052149		
Q268584	Q29974940	Q3138391	Q9626	2017-06-08	Q25052149		
Q269005	Q29974940	Q1072792	Q9630	2017-06-08	Q25052149		
Q269124	Q29974940	Q1050931	Q9624	2017-06-08	Q25052149		
Q269449	Q29974940	Q988242	Q9626	2017-06-08	Q25052149		
Q269638	Q29974940	Q1072896	Q9630	2017-06-08	Q25052149		
Q269697	Q29974940	Q1080403	Q9630	2017-06-08	Q25052149		
Q269853	Q29974940	Q988843	Q9626	2017-06-08	Q25052149		
Q269868	Q29974940	Q3136714	Q9630	2017-06-08	Q25052149		
Q269925	Q29974940	Q1080625	Q9626	2017-06-08	Q25052149		
Q270009	Q29974940	Q1032489	Q9626	2017-06-08	Q25052149		
Q271683	Q29974940	Q3301704	Q9626	2017-06-08	Q25052149		
Q271715	Q29974940	Q3334655	Q9626	2017-06-08	Q25052149		
Q271800	Q29974940	Q875225	Q9626	2017-06-08	Q25052149		
Q271889	Q29974940	Q1031895	Q9626	2017-06-08	Q25052149		
Q272041	Q29974940	Q1080299	Q6467393	2017-06-08	Q25052149		
Q272098	Q29974940	Q3337393	Q9630	2017-06-08	Q25052149		
Q272123	Q29974940	Q731571	Q9630	2017-06-08	Q25052149		
Q272201	Q29974940	Q988801	Q9626	2017-06-08	Q25052149		
Q272234	Q29974940	Q3337141	Q9630	2017-06-08	Q25052149		
Q272259	Q29974940	Q3137771	Q9626	2017-06-08	Q25052149		
Q272288	Q29974940	Q1052216	Q9626	2017-06-08	Q25052149		
Q272346	Q29974940	Q3337719	Q9630	2017-06-08	Q25052149		
Q272408	Q29974940	Q3138197	Q9630	2017-06-08	Q25052149		
Q272452	Q29974940	Q1077371	Q6467393	2017-06-08	Q25052149		
Q272569	Q29974940	Q750582	Q9630	2017-06-08	Q25052149		
Q272643	Q29974940	Q988637	Q9626	2017-06-08	Q25052149		
Q27671735	Q29974940	Q874194	Q9626	2017-06-08	Q25052149		
Q27943421	Q29974940	Q3302305	Q9630	2017-06-08	Q25052149		
Q27979810	Q29974940	Q989206	Q9626	2017-06-08	Q25052149		
Q285183	Q29974940	Q987938	Q9626	2017-06-08	Q25052149		
Q285249	Q29974940	Q1077377	Q9630	2017-06-08	Q25052149		
Q285975	Q29974940	Q3301684	Q9630	2017-06-08	Q25052149		
Q286043	Q29974940	Q988356	Q9630	2017-06-08	Q25052149		
Q28834849	Q29974940	Q988288	Q6467393	2017-06-08	Q25052149		
Q28834855	Q29974940	Q3335605	Q9626	2017-06-08	Q25052149		
Q28867747	Q29974940	Q751642	Q76382	2017-06-08	Q25052149		
Q290474	Q29974940	Q1077324	Q9630	2017-06-08	Q25052149		
Q290554	Q29974940	Q988194	Q9626	2017-06-08	Q25052149		
Q290646	Q29974940	Q1077573	Q9626	2017-06-08	Q25052149		
Q290855	Q29974940	Q874435	Q9630	2017-06-08	Q25052149		
Q291057	Q29974940	Q1032235	Q9630	2017-06-08	Q25052149		
Q291169	Q29974940	Q1077552	Q9630	2017-06-08	Q25052149		
Q291303	Q29974940	Q875359	Q9626	2017-06-08	Q25052149		
Q291393	Q29974940	Q1032412	Q9626	2017-06-08	Q25052149		
Q291441	Q29974940	Q3137707	Q9630	2017-06-08	Q25052149		
Q291470	Q29974940	Q874488	Q9630	2017-06-08	Q25052149		
Q291502	Q29974940	Q875059	Q6467393	2017-06-08	Q25052149		
Q291557	Q29974940	Q3239111	Q9626	2017-06-08	Q25052149		
Q291591	Q29974940	Q3138569	Q9630	2017-06-08	Q25052149		
Q291615	Q29974940	Q1113142	Q9630	2017-06-08	Q25052149		
Q291649	Q29974940	Q988335	Q9630	2017-06-08	Q25052149		
Q291683	Q29974940	Q3335775	Q9630	2017-06-08	Q25052149		
Q291785	Q29974940	Q989041	Q9630	2017-06-08	Q25052149		
Q296689	Q29974940	Q3138167	Q9624	2017-06-08	Q25052149		
Q296716	Q29974940	Q3238808	Q9630	2017-06-08	Q25052149		
Q296797	Q29974940	Q1053353	Q9626	2017-06-08	Q25052149		
Q296866	Q29974940	Q988068	Q6467393	2017-06-08	Q25052149		
Q296920	Q29974940	Q1053339	Q9626	2017-06-08	Q25052149		
Q300004	Q29974940	Q1031659	Q9626	2017-06-08	Q25052149		
Q300023	Q29974940	Q3337409	Q9626	2017-06-08	Q25052149		
Q300049	Q29974940	Q751043	Q9630	2017-06-08	Q25052149		
Q300107	Q29974940	Q3301998	Q9626	2017-06-08	Q25052149		
Q300142	Q29974940	Q3336990	Q9626	2017-06-08	Q25052149		
Q300243	Q29974940	Q751580	Q215519	2017-06-08	Q25052149		
Q300292	Q29974940	Q751651	Q215519	2017-06-08	Q25052149		
Q30163209	Q29974940	Q1031884	Q6467393	2017-06-08	Q25052149		
Q30163380	Q29974940	Q1080424	Q6467393	2017-06-08	Q25052149		
Q30163437	Q29974940	Q750956	Q9626	2017-06-08	Q25052149		
Q30163501	Q29974940	Q3133916	Q9630	2017-06-08	Q25052149		
Q30163560	Q29974940	Q3238753	Q9630	2017-06-08	Q25052149		
Q30163628	Q29974940	Q1053415	Q9630	2017-06-08	Q25052149		
Q30163629	Q29974940	Q3301796	Q9630	2017-06-08	Q25052149		
Q30163703	Q29974940	Q988601	Q9626	2017-06-08	Q25052149		
Q30163918	Q29974940	Q1050650	Q9630	2017-06-08	Q25052149		
Q30164276	Q29974940	Q3336187	Q9630	2017-06-08	Q25052149		
Q30164279	Q29974940	Q1077332	Q9630	2017-06-08	Q25052149		
Q30164280	Q29974940	Q1075440	Q9624	2017-06-08	Q25052149		
Q30164281	Q29974940	Q1070154	Q9626	2017-06-08	Q25052149		
Q30164376	Q29974940	Q874946	Q9630	2017-06-08	Q25052149		
Q30164379	Q29974940	Q3138595	Q9630	2017-06-08	Q25052149		
Q30164380	Q29974940	Q1070055	Q9630	2017-06-08	Q25052149		
Q30164451	Q29974940	Q3133832	Q9630	2017-06-08	Q25052149		
Q30164696	Q29974940	Q1070045	Q9624	2017-06-08	Q25052149		
Q30164739	Q29974940	Q1072710	Q9630	2017-06-08	Q25052149		
Q30164792	Q29974940	Q3138122	Q6467393	2017-06-08	Q25052149		
Q30164795	Q29974940	Q988375	Q9626	2017-06-08	Q25052149		
Q30164902	Q29974940	Q1050608	Q6467393	2017-06-08	Q25052149		
Q30164903	Q29974940	Q1032131	Q9630	2017-06-08	Q25052149		
Q30165006	Q29974940	Q1080320	Q9630	2017-06-08	Q25052149		
Q30165049	Q29974940	Q988304	Q9630	2017-06-08	Q25052149		
Q30165113	Q29974940	Q3137937	Q6467393	2017-06-08	Q25052149		
Q30165325	Q29974940	Q1077513	Q9630	2017-06-08	Q25052149		
Q30165327	Q29974940	Q1032512	Q9626	2017-06-08	Q25052149		
Q30165535	Q29974940	Q988262	Q9626	2017-06-08	Q25052149		
Q30165536	Q29974940	Q1077357	Q9630	2017-06-08	Q25052149		
Q30165682	Q29974940	Q3336017	Q9626	2017-06-08	Q25052149		
Q30165748	Q29974940	Q3134218	Q9630	2017-06-08	Q25052149		
Q30166575	Q29974940	Q874959	Q9630	2017-06-08	Q25052149		
Q30167357	Q29974940	Q3138472	Q9630	2017-06-08	Q25052149		
Q30168147	Q29974940	Q1051029	Q9626	2017-06-08	Q25052149		
Q30169287	Q29974940	Q989007	Q9630	2017-06-08	Q25052149		
Q30172752	Q29974940	Q1077398	Q10691	2017-06-08	Q25052149		
Q30172941	Q29974940	Q3302490	Q9630	2017-06-08	Q25052149		
Q30173119	Q29974940	Q1080287	Q6467393	2017-06-08	Q25052149		
Q30174601	Q29974940	Q3301906	Q9626	2017-06-08	Q25052149		
Q30174635	Q29974940	Q1051601	Q9630	2017-06-08	Q25052149		
Q30174665	Q29974940	Q3137955	Q9630	2017-06-08	Q25052149		
Q30174692	Q29974940	Q1072676	Q9626	2017-06-08	Q25052149		
Q30174715	Q29974940	Q874041	Q9630	2017-06-08	Q25052149		
Q30174734	Q29974940	Q3337041	Q9626	2017-06-08	Q25052149		
Q30176559	Q29974940	Q3133785	Q9626	2017-06-08	Q25052149		
Q30179008	Q29974940	Q1032433	Q9630	2017-06-08	Q25052149		
Q30179052	Q29974940	Q3335881	Q9630	2017-06-08	Q25052149		
Q30188435	Q29974940	Q751285	Q9626	2017-06-08	Q25052149		
Q302036	Q29974940	Q987872	Q9626	2017-06-08	Q25052149		
Q302187	Q29974940	Q988587	Q9626	2017-06-08	Q25052149		
Q30223596	Q29974940	Q874700	Q9630	2017-06-08	Q25052149		
Q30223599	Q29974940	Q3336746	Q9626	2017-06-08	Q25052149		
Q30223601	Q29974940	Q1050814	Q9624	2017-06-08	Q25052149		
Q30224361	Q29974940	Q3301747	Q10658	2017-06-08	Q25052149		
Q302244	Q29974940	Q1080358	Q9630	2017-06-08	Q25052149		
Q30224657	Q29974940	Q874607	Q9626	2017-06-08	Q25052149		
Q30226321	Q29974940	Q1077802	Q9630	2017-06-08	Q25052149		
Q30228118	Q29974940	Q1053429	Q9626	2017-06-08	Q25052149		
Q30228145	Q29974940	Q1072645	Q9630	2017-06-08	Q25052149		
Q302309	Q29974940	Q1031965	Q9626	2017-06-08	Q25052149		
Q30232942	Q29974940	Q1075910	Q9626	2017-06-08	Q25052149		
Q30234239	Q29974940	Q3137868	Q9626	2017-06-08	Q25052149		
Q30234240	Q29974940	Q3336117	Q9630	2017-06-08	Q25052149		
Q30234241	Q29974940	Q1032085	Q9626	2017-06-08	Q25052149		
Q30234242	Q29974940	Q1080435	Q9630	2017-06-08	Q25052149		
Q30234243	Q29974940	Q1051300	Q6467393	2017-06-08	Q25052149		
Q30234245	Q29974940	Q581697	Q9626	2017-06-08	Q25052149		
Q30234246	Q29974940	Q1031731	Q9630	2017-06-08	Q25052149	2017-10-25	Q35855188
Q30234246	Q29974940	Q1031731	Q327591	2017-10-25			
Q30234247	Q29974940	Q1032329	Q9630	2017-06-08	Q25052149		
Q30234248	Q29974940	Q650377	Q9626	2017-06-08	Q25052149		
Q30234249	Q29974940	Q3335863	Q9630	2017-06-08	Q25052149		
Q30234251	Q29974940	Q1077604	Q9630	2017-06-08	Q25052149		
Q30234253	Q29974940	Q875108	Q9626	2017-06-08	Q25052149		
Q302417	Q29974940	Q1031877	Q9626	2017-06-08	Q25052149		
Q302486	Q29974940	Q1077612	Q9626	2017-06-08	Q25052149		
Q302546	Q29974940	Q3336884	Q9626	2017-06-08	Q25052149		
Q302763	Q29974940	Q875135	Q9630	2017-06-08	Q25052149		
Q302815	Q29974940	Q3301627	Q9630	2017-06-08	Q25052149		
Q302892	Q29974940	Q1077385	Q10691	2017-06-08	Q25052149		
Q302939	Q29974940	Q1113118	Q9630	2017-06-08	Q25052149		
Q303011	Q29974940	Q988171	Q9630	2017-06-08	Q25052149		
Q303085	Q29974940	Q1051537	Q9626	2017-06-08	Q25052149		
Q303253	Q29974940	Q3336139	Q6467393	2017-06-08	Q25052149		
Q303299	Q29974940	Q1080634	Q9626	2017-06-08	Q25052149		
