?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q10999286>	"Paul Berry"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7019151>	"Newry and Armagh"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2006-02-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1787171>	"exclusion from a political party"@en
<http://www.wikidata.org/entity/Q10999286>	"Paul Berry"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7019151>	"Newry and Armagh"@en	<http://www.wikidata.org/entity/Q327591>	"independent politician"@en	"2006-02-21T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1116655>	"Alex Maskey"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882329>	"Belfast South"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q116719>	"Diane Dodds"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882350>	"Belfast West"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16105286>	"P. J. Bradley"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7567069>	"South Down"@en	<http://www.wikidata.org/entity/Q175443>	"Social Democratic and Labour Party"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16105819>	"Jim Wilson"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7565994>	"South Antrim"@en	<http://www.wikidata.org/entity/Q841045>	"Ulster Unionist Party"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16114174>	"Francie Brolly"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5328872>	"East Londonderry"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16193334>	"Mark Robinson"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882329>	"Belfast South"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16195114>	"David Hilditch"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5327714>	"East Antrim"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q16225949>	"Norman Hillis"@en	<http://www.wikidata.org/entity/Q21128144>	"2nd Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5328872>	"East Londonderry"@en	<http://www.wikidata.org/entity/Q841045>	"Ulster Unionist Party"@en	"2003-11-26T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2076187>	"2003 Northern Ireland Assembly election"@en	"2007-01-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
