?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1051152>	"Cathy Peattie"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1394345>	"Falkirk East"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1064575>	"Charlie Gordon"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1458360>	"Glasgow Cathcart"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1083222>	"Christina McKelvie"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1053991>	"Central Scotland"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1086721>	"Christopher Harvie"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1931762>	"Mid Scotland and Fife"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1175613>	"David McLetchie"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1284757>	"Edinburgh Pentlands"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1176741>	"David Stewart"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1549306>	"Highlands and Islands"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1176844>	"Dave Thompson"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1549306>	"Highlands and Islands"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1177153>	"David Whitton"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q2353886>	"Strathkelvin and Bearsden"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1200005>	"Derek Brownlee"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q7569048>	"South of Scotland"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1200458>	"Des McNulty"@en	<http://www.wikidata.org/entity/Q29585766>	"3rd Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1103746>	"Clydebank and Milngavie"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2007-05-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q953141>	"2007 Scottish Parliament general election"@en	"2011-03-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
