?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q106750784>	"Jackie Dunbar"@en			<http://www.wikidata.org/entity/Q319480>	"Aberdeen Donside"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106752706>	"Marie McNair"@en			<http://www.wikidata.org/entity/Q1103746>	"Clydebank and Milngavie"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106754484>	"Paul McLennan"@en			<http://www.wikidata.org/entity/Q1277940>	"East Lothian"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106758077>	"Collette Stevenson"@en			<http://www.wikidata.org/entity/Q477746>	"East Kilbride"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106758086>	"Evelyn Tweed"@en			<http://www.wikidata.org/entity/Q2350325>	"Stirling"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106758197>	"Natalie Don"@en			<http://www.wikidata.org/entity/Q959590>	"Renfrewshire North and West"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106759906>	"Jenni Minto"@en			<http://www.wikidata.org/entity/Q652587>	"Argyll and Bute"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106762414>	"Siobhian Brown"@en			<http://www.wikidata.org/entity/Q793213>	"Ayr"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106762597>	"Audrey Nicoll"@en			<http://www.wikidata.org/entity/Q319507>	"Aberdeen South and North Kincardine"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106765814>	"Jim Fairlie"@en			<http://www.wikidata.org/entity/Q1512696>	"Perthshire South and Kinross-shire"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106765958>	"Stephanie Callaghan"@en			<http://www.wikidata.org/entity/Q1623093>	"Uddingston and Bellshill"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106766023>	"Elena Whitham"@en			<http://www.wikidata.org/entity/Q925833>	"Carrick, Cumnock and Doon Valley"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
<http://www.wikidata.org/entity/Q106766550>	"Kaukab Stewart"@en			<http://www.wikidata.org/entity/Q1529510>	"Glasgow Kelvin"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2021-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q24969168>	"2021 Scottish Parliament general election"@en			
