?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1071778>	"Chic Brodie"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1749544>	"South Scotland"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1083222>	"Christina McKelvie"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1573419>	"Hamilton, Larkhall and Stonehouse"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1097337>	"Claudia Beamish"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1749544>	"South Scotland"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1108343>	"Colin Beattie"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1932000>	"Midlothian North and Musselburgh"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1175613>	"David McLetchie"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1871077>	"Lothian"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2013-08-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q5247364>	"death in office"@en
<http://www.wikidata.org/entity/Q1176741>	"David Stewart"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1549306>	"Highlands and Islands"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1176844>	"Dave Thompson"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q2293327>	"Skye, Lochaber and Badenoch"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1176878>	"David Torrance"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1392204>	"Kirkcaldy"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1189468>	"Dennis Robertson"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q319521>	"Aberdeenshire West"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1200058>	"Derek Mackay"@en	<http://www.wikidata.org/entity/Q29585767>	"4th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q959590>	"Renfrewshire North and West"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2011-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q1862416>	"2011 Scottish Parliament general election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
