?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1083222>	"Christina McKelvie"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1573419>	"Hamilton, Larkhall and Stonehouse"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1097337>	"Claudia Beamish"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1749544>	"South Scotland"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1108343>	"Colin Beattie"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1932000>	"Midlothian North and Musselburgh"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1176741>	"David Stewart"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1549306>	"Highlands and Islands"@en	<http://www.wikidata.org/entity/Q3179541>	"Scottish Labour Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1176878>	"David Torrance"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1392204>	"Kirkcaldy"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1200058>	"Derek Mackay"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q959590>	"Renfrewshire North and West"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2020-02-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q35855188>	"suspension from a political party"@en
<http://www.wikidata.org/entity/Q1200058>	"Derek Mackay"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q959590>	"Renfrewshire North and West"@en	<http://www.wikidata.org/entity/Q327591>	"independent politician"@en	"2020-02-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q121780>	"Michael Matheson"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1394351>	"Falkirk West"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1231522>	"Jackson Carlaw"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q1278307>	"Eastwood"@en	<http://www.wikidata.org/entity/Q3243587>	"Scottish Conservatives"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1282862>	"George Adam"@en	<http://www.wikidata.org/entity/Q29585769>	"5th Scottish Parliament"@en	<http://www.wikidata.org/entity/Q2046519>	"Paisley"@en	<http://www.wikidata.org/entity/Q10658>	"Scottish National Party"@en	"2016-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7437890>	"2016 Scottish Parliament general election"@en	"2021-05-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
